variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size
sum_open_interest,price_direction_1d,3,-0.0503518474746147,0.10132942101972664,-0.0393589224707716,0.20039821055179807,1060
sum_open_interest,price_direction_1d,7,-0.026804113100935615,0.3842155381992296,-0.0332604069725799,0.2802072145302494,1056
sum_open_interest,price_direction_7d,0,-0.08864292169691065,0.0038233462966639335,-0.07210644321813692,0.018711436002655027,1063
sum_open_interest,price_direction_7d,1,-0.08009838856223347,0.009017332325352621,-0.05967133429791815,0.05189156843654421,1062
sum_open_interest,price_direction_7d,2,-0.08239811560795719,0.00724523551490839,-0.054610352352394496,0.07539517851617566,1061
sum_open_interest,price_direction_7d,3,-0.08908405709187096,0.0036994020471805855,-0.061206167462498996,0.046344153188831234,1060
sum_open_interest,price_direction_7d,7,-0.06150247776397616,0.04570379796938123,-0.0367896933609851,0.232277757636064,1056
avg_funding_rate,price_static,0,-0.04392965226143446,0.15235164955899935,-0.04427882193962365,0.1491158140005165,1063
avg_funding_rate,price_static,1,-0.042972082359040986,0.1616972226356334,-0.04665531642727762,0.1286476822544099,1062
avg_funding_rate,price_static,2,-0.04237561969365524,0.16780432441960347,-0.04752628139391726,0.12183364138287618,1061
avg_funding_rate,price_static,3,-0.04125805747091686,0.17951440954667167,-0.049048728308478895,0.11049161255392935,1060
avg_funding_rate,price_static,7,-0.036329235833919345,0.23817860219389875,-0.04885171507119697,0.11261233497490482,1056
avg_funding_rate,price_change_1d,0,-0.0011103993311967469,0.9711543646127242,-0.017016554768729382,0.5794490338318143,1063
avg_funding_rate,price_change_1d,1,-0.0011897375666625313,0.9691089013823936,-0.0188130777874081,0.5402604470901633,1062
avg_funding_rate,price_change_1d,2,0.00010028703542187649,0.997396668095706,-0.012806912799763717,0.67690893157041,1061
avg_funding_rate,price_change_1d,3,0.006046528604045653,0.8441169099297825,0.0003595773926326714,0.9906704054588551,1060
avg_funding_rate,price_change_1d,7,0.02308540693259123,0.45361716961829907,0.01607191051971249,0.6018859050635722,1056
avg_funding_rate,price_change_7d,0,0.023578031708275892,0.44360462244531285,-0.008905598871008433,0.7723250755866176,1058
avg_funding_rate,price_change_7d,1,0.03219080489016127,0.295743364672404,0.0021464733946974695,0.9444303278126764,1057
avg_funding_rate,price_change_7d,2,0.046949543316686757,0.1273305866177704,0.01975430491329131,0.5213659773825476,1056
avg_funding_rate,price_change_7d,3,0.049318947764930454,0.1093786125601463,0.028993756954271237,0.34679673232378005,1055
avg_funding_rate,price_change_7d,7,0.002696219858467668,0.9304288851775321,0.03674461306734053,0.23396277350847622,1051
avg_funding_rate,price_change_30d,0,-0.03276434318587073,0.29230235843329744,-0.009663660264737563,0.7561615994128628,1035
avg_funding_rate,price_change_30d,1,-0.04055417622575366,0.19257014040903975,-0.011276381186560411,0.7172214292473318,1034
avg_funding_rate,price_change_30d,2,-0.04662099088721064,0.13428569867157092,-0.017647898347079603,0.5710087870812411,1033
avg_funding_rate,price_change_30d,3,-0.05497711339928708,0.07750979839861767,-0.027924517778353607,0.37016949123664633,1032
avg_funding_rate,price_change_30d,7,-0.08403732084087258,0.007019169645351888,-0.053912684818191815,0.08403740592024429,1028
avg_funding_rate,volatility_7d,0,0.1529343530462448,5.935833964533634e-07,0.11523407064548734,0.00017491456419787557,1056
avg_funding_rate,volatility_7d,1,0.14983777627804074,1.003141348796392e-06,0.123397503829971,5.8057486450787546e-05,1056
avg_funding_rate,volatility_7d,2,0.16219797433679897,1.1599425834409401e-07,0.12689117762746965,3.5446378231364996e-05,1056
avg_funding_rate,volatility_7d,3,0.17952567938814207,4.234143095861627e-09,0.13985438658446342,5.072088658072603e-06,1056
avg_funding_rate,volatility_7d,7,0.25000216124333074,1.6409965415771675e-16,0.14462781484095202,2.368748906407823e-06,1056
avg_funding_rate,price_direction_1d,0,0.006268392283605152,0.8382486206969784,-0.009972084788585906,0.745368613174355,1063
avg_funding_rate,price_direction_1d,1,0.009304036576674814,0.7620021918256268,-0.01302145232920177,0.6716637115583008,1062
