variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size,pearson_pvalue_fdr,is_significant_fdr,r_squared,coefficient,intercept
large_tx_count,price_change_7d,14,,,,,260,,False,,,
large_tx_count,volatility_1d,0,,,,,274,,False,,,
large_tx_count,volatility_1d,1,,,,,273,,False,,,
large_tx_count,volatility_1d,3,,,,,271,,False,,,
large_tx_count,volatility_1d,7,,,,,267,,False,,,
large_tx_count,volatility_1d,14,,,,,260,,False,,,
large_tx_count,volatility_7d,0,,,,,274,,False,,,
large_tx_count,volatility_7d,1,,,,,273,,False,,,
large_tx_count,volatility_7d,3,,,,,271,,False,,,
large_tx_count,volatility_7d,7,,,,,267,,False,,,
large_tx_count,volatility_7d,14,,,,,260,,False,,,
large_tx_count,price_direction_1d,0,,,,,274,,False,,,
large_tx_count,price_direction_1d,1,,,,,273,,False,,,
large_tx_count,price_direction_1d,3,,,,,271,,False,,,
large_tx_count,price_direction_1d,7,,,,,267,,False,,,
large_tx_count,price_direction_1d,14,,,,,260,,False,,,
large_tx_count,price_direction_7d,0,,,,,274,,False,,,
large_tx_count,price_direction_7d,1,,,,,273,,False,,,
large_tx_count,price_direction_7d,3,,,,,271,,False,,,
large_tx_count,price_direction_7d,7,,,,,267,,False,,,
large_tx_count,price_direction_7d,14,,,,,260,,False,,,
large_tx_count,price_range,0,,,,,274,,False,,,
large_tx_count,price_range,1,,,,,273,,False,,,
large_tx_count,price_range,3,,,,,271,,False,,,
large_tx_count,price_range,7,,,,,267,,False,,,
large_tx_count,price_range,14,,,,,260,,False,,,
avg_tx_size_usd,price_static,0,0.02949335862481693,0.6269134050194902,0.030924634307710457,0.6102788150554571,274,0.6269134050194902,False,,,
avg_tx_size_usd,price_static,1,0.03189237072772103,0.5998167394515765,0.04143501273007168,0.49538420619226564,273,0.5998167394515765,False,,,
avg_tx_size_usd,price_static,3,0.013251008839652963,0.8280989679823888,0.025818309059639208,0.672201186666401,271,0.8280989679823888,False,,,
avg_tx_size_usd,price_static,7,-0.009673901014189934,0.8749809275685863,-0.03777340313261847,0.5388545849642996,267,0.8749809275685863,False,,,
avg_tx_size_usd,price_static,14,,,,,260,,False,,,
avg_tx_size_usd,price_change_1d,0,0.011800752704254767,0.8458227811037885,0.05303598523256202,0.38184386923538716,274,0.8458227811037885,False,,,
avg_tx_size_usd,price_change_1d,1,0.010603370478264339,0.8615531111513678,0.027787053444017426,0.647599801584482,273,0.8615531111513678,False,,,
avg_tx_size_usd,price_change_1d,3,-0.1355057897829683,0.025701394904852518,-0.13834025903506111,0.022738241305285598,271,0.025701394904852518,True,0.01836181906470591,-2.8655402883269466e-06,0.00030576637343067436
avg_tx_size_usd,price_change_1d,7,0.06695759381821507,0.27563088768013994,0.024594082102216717,0.6891228924147039,267,0.27563088768013994,False,,,
avg_tx_size_usd,price_change_1d,14,,,,,260,,False,,,
avg_tx_size_usd,price_change_7d,0,-0.06814265313006358,0.2609654862885878,-0.11382093365494632,0.05989340459249684,274,0.2609654862885878,False,,,
avg_tx_size_usd,price_change_7d,1,-0.0841107443210924,0.16580257029093892,-0.11775258026499122,0.05196410703090092,273,0.16580257029093892,False,,,
avg_tx_size_usd,price_change_7d,3,-0.007298717874445303,0.9048013931913071,-0.06432614620152075,0.29136113855083773,271,0.9048013931913071,False,,,
avg_tx_size_usd,price_change_7d,7,-0.07891952293455,0.19861368894751882,-0.1262082513920311,0.039319096728638266,267,0.19861368894751882,False,,,
avg_tx_size_usd,price_change_7d,14,,,,,260,,False,,,
avg_tx_size_usd,volatility_1d,0,-0.02507232937493528,0.6794684888638706,-0.03519774140242991,0.5618185075821541,274,0.6794684888638706,False,,,
avg_tx_size_usd,volatility_1d,1,-0.022182262846353405,0.7152052208952573,-0.022332661289321664,0.7133588334001968,273,0.7152052208952573,False,,,
avg_tx_size_usd,volatility_1d,3,0.041628663528992436,0.4949718334644781,0.0607348470679887,0.3191917952760866,271,0.4949718334644781,False,,,
