date,upbit_price,upbit_open,upbit_high,upbit_low,binance_price,binance_open,binance_high,binance_low,bitget_price,bitget_open,bitget_high,bitget_low,krw_usd
2025-08-25,155887000.0,157603000.0,158000000.0,155346000.0,110111.98,113493.59,113667.28,109274.1,109671.93,112197.86,112945.74,108704.76,1395.6
2025-08-26,156661000.0,155887000.0,157367000.0,153952000.0,111763.22,110111.98,112371.0,108666.66,112014.96,109671.93,112628.72,109451.36,1386.3
2025-08-27,155534000.0,156660000.0,157200000.0,154800000.0,111262.01,111763.22,112625.0,110345.42,112672.77,112014.96,113469.0,110860.07,1391.2
2025-08-28,156737000.0,155532000.0,157787000.0,155211000.0,112566.9,111262.01,113485.9,110862.42,108408.03,112672.77,113185.06,108130.59,1395.7
2025-08-29,152262000.0,156737000.0,157080000.0,151100000.0,108377.4,112566.9,112638.64,107463.9,108884.07,108408.03,108930.14,107355.13,1388.6
2025-08-30,151734000.0,152262000.0,152267000.0,149704000.0,108816.33,108377.4,108926.15,107350.1,108812.39,108884.07,109487.99,108191.88,1388.15
2025-08-31,150700000.0,151734000.0,152960000.0,150447000.0,108246.35,108816.33,109480.02,108076.93,108788.99,108812.39,109910.16,107254.53,1387.9250000000002
2025-09-01,152419000.0,150700000.0,152789000.0,149000000.0,109237.42,108246.36,109912.4,107255.0,110834.5,108788.99,111771.43,107472.77,1387.7
2025-09-02,154850000.0,152419000.0,155445000.0,150984000.0,111240.01,109237.43,111771.52,108393.39,112226.54,110834.5,112515.08,110199.57,1392.4
2025-09-03,154890000.0,154850000.0,156000000.0,154032000.0,111705.71,111240.01,112575.27,110528.71,109526.0,112226.54,112582.62,109346.46,1392.2
2025-09-04,155410000.0,154890000.0,156515000.0,153093000.0,110730.87,111705.72,112180.0,109329.12,110727.65,109526.0,113392.46,109371.54,1393.8
2025-09-05,154930000.0,155337000.0,157853000.0,154502000.0,110659.99,110730.87,113384.62,110206.96,110395.64,110727.65,111713.96,110217.47,1392.7
2025-09-06,154325000.0,154930000.0,155629000.0,154231000.0,110187.97,110660.0,111307.7,109977.0,111327.5,110395.64,111429.31,109971.4,1392.25
2025-09-07,155001000.0,154325000.0,155784000.0,154200000.0,111137.34,110187.98,111600.0,110180.0,112641.98,111327.5,112935.49,110618.61,1392.025
2025-09-08,156048000.0,155001000.0,156838000.0,154592000.0,112065.23,111137.35,112924.37,110621.78,110894.43,112641.98,113292.0,110792.68,1391.8
2025-09-09,155450000.0,156048000.0,157200000.0,154697000.0,111546.39,112065.23,113293.29,110766.66,113846.01,110894.43,114309.63,110808.08,1390.4
2025-09-10,158561000.0,155451000.0,158800000.0,154950000.0,113960.0,111546.38,114313.13,110917.45,114178.02,113846.01,114742.75,113157.89,1386.6
2025-09-11,160375000.0,158562000.0,160400000.0,157777000.0,115482.69,113960.0,115488.09,113430.0,115114.94,114178.02,116319.72,114109.34,1387.6
2025-09-12,161101000.0,160395000.0,161794000.0,160000000.0,116029.42,115482.69,116665.63,114740.99,115777.16,115114.94,116665.4,115036.69,1389.4
2025-09-13,160536000.0,161110000.0,161369000.0,159461000.0,115918.29,116029.41,116298.78,115127.27,115233.0,115777.16,116167.56,115122.0,1389.0500000000002
2025-09-14,160338000.0,160536000.0,161200000.0,159899000.0,115268.01,115918.29,116165.19,115135.0,114863.78,115233.0,116766.01,114371.25,1388.875
2025-09-15,160705000.0,160338000.0,161791000.0,159500000.0,115349.71,115268.01,116757.99,114384.0,115917.7,114863.78,116008.0,114604.0,1388.7
2025-09-16,162167000.0,160705000.0,162334000.0,160125000.0,116788.96,115349.71,116964.27,114737.11,115886.06,115917.7,117283.1,115470.59,1389.5
2025-09-17,161468000.0,162200000.0,163000000.0,160210000.0,116447.59,116788.96,117286.73,114720.81,117586.01,115886.06,117880.0,114758.0,1382.3
2025-09-18,162478000.0,161468000.0,163333000.0,161372000.0,117073.53,116447.6,117900.0,116092.76,115873.55,117586.01,117907.37,115468.0,1380.0
2025-09-19,162138000.0,162478000.0,163080000.0,161500000.0,115632.38,117073.53,117459.99,115100.0,115992.58,115873.55,116135.65,115095.35,1384.6
2025-09-20,162236000.0,162162000.0,162486000.0,162000000.0,115685.63,115632.39,116121.81,115408.47,115535.01,115992.58,116084.99,115326.41,1389.1
2025-09-21,161412000.0,162236000.0,162239000.0,161372000.0,115232.29,115685.63,115819.06,115188.0,112824.36,115535.01,115661.32,111832.69,1391.35
