symbol,date,open,high,low,close,volume,quote_volume,atr,rsi,upper_shadow,lower_shadow,upper_shadow_ratio,lower_shadow_ratio,weekly_range,weekly_range_pct,body_size,body_size_pct,volatility_ratio
ETHUSDT,2024-02-18,2507.22,2895.0,2472.0,2881.2,2884670.9657,7866239122.450827,271.46785714285716,73.66366434326062,,,,,423.0,17.111650485436893,,,0.09422041411316714
ETHUSDT,2024-02-25,2881.2,3122.0,2856.93,3112.59,3325600.6648,9835240917.647,275.11571428571426,78.00834308388872,,,,,265.07000000000016,9.27814122152101,,,0.08838803513656288
BTCUSDT,2024-02-25,52137.68,52985.0,50521.0,51728.85,223366.16186,11519591601.715067,4082.8807142857154,77.49564956484168,,,,,2464.0,4.877179786623384,,,0.078928503422862
BTCUSDT,2024-03-03,51728.85,64000.0,50901.44,63113.97,417907.83383,24884787678.711815,4819.778571428572,84.28869226379162,,,,,13098.559999999998,25.733181615294175,,,0.07636627154698987
ETHUSDT,2024-03-03,3112.6,3522.81,3036.59,3487.81,3918303.8282,13040120115.629751,295.2307142857143,81.12320201217437,,,,,486.2199999999998,16.012039820983397,,,0.08464644412560154
BTCUSDT,2024-03-10,63113.97,69990.0,59005.0,68955.88,481870.181782,32048902066.64221,5351.35,85.567786335233,,,,,10985.0,18.617066350309297,,,0.0776054195813323
ETHUSDT,2024-03-10,3487.8,3993.75,3200.0,3878.47,4876443.9626,18214060825.646652,335.3921428571429,83.04811576016628,,,,,793.75,24.8046875,,,0.08647537375747213
ETHUSDT,2024-03-17,3878.47,4093.92,3412.0,3644.71,4498501.7667,17206654474.63287,368.7671428571429,74.62105912925524,,,,,681.9200000000001,19.98593200468933,,,0.10117873379696682
BTCUSDT,2024-03-17,68955.88,73777.0,64533.0,68393.48,477496.91752,33401114461.52805,5673.940000000001,82.8146126833354,,,,,9244.0,14.324454155238406,,,0.08296024708788033
ETHUSDT,2024-03-24,3644.7,3645.02,3056.56,3454.98,4573957.9796,15435917706.705185,395.7514285714286,73.67056893931415,,,,,588.46,19.252362132593507,,,0.11454521547778239
