symbol,date,close,volume,quote_volume,open,high,low
ETHUSDT,2025-06-11,2771.61,850210.9324,2388186204.977766,2816.41,2879.22,2743.75
ETHUSDT,2025-06-12,2642.65,699593.3757,1905633561.097528,2771.6,2784.83,2616.24
BTCUSDT,2025-06-12,105671.73,17778.67218,1908309274.0868344,108645.13,108813.55,105671.72
BTCUSDT,2025-06-13,106066.59,26180.81734,2735461890.6929703,105671.74,106179.53,102664.31
ETHUSDT,2025-06-13,2579.19,1202176.2972,3033896895.562154,2642.66,2645.45,2436.98
ETHUSDT,2025-06-14,2530.76,331438.9278,838399986.460107,2579.19,2579.43,2488.72
BTCUSDT,2025-06-14,105414.64,8798.93969,925568614.1784065,106066.59,106252.0,104300.0
ETHUSDT,2025-06-15,2547.61,299701.6624,758742736.767623,2530.77,2559.51,2492.0
BTCUSDT,2025-06-15,105594.01,7164.20047,754596887.8748004,105414.63,106128.57,104494.53
ETHUSDT,2025-06-16,2544.17,680429.988,1774646762.471706,2547.62,2680.34,2514.85
BTCUSDT,2025-06-16,106794.53,14922.6654,1599849840.7325244,105594.02,108952.38,104980.37
ETHUSDT,2025-06-17,2509.95,715930.4081,1815306987.093816,2544.17,2618.6,2453.8
BTCUSDT,2025-06-17,104551.17,17866.33025,1883173484.8990998,106794.53,107771.34,103371.02
ETHUSDT,2025-06-18,2525.0,504532.1818,1266177014.470926,2509.95,2548.42,2465.78
BTCUSDT,2025-06-18,104886.78,13968.64167,1461383024.3622093,104551.17,105550.27,103500.0
BTCUSDT,2025-06-19,104658.59,7678.60737,803402575.962045,104886.79,105226.17,103929.27
ETHUSDT,2025-06-19,2521.12,252646.059,636251233.010393,2525.0,2546.91,2485.03
BTCUSDT,2025-06-20,103297.99,16419.06283,1714411911.0114017,104658.59,106524.65,102345.0
ETHUSDT,2025-06-20,2406.49,632027.8235,1559837109.182709,2521.13,2569.0,2367.36
BTCUSDT,2025-06-21,102120.01,11154.21332,1144829784.7306418,103297.98,103982.64,100837.9
ETHUSDT,2025-06-21,2295.73,496783.864,1167664698.578644,2406.49,2448.8,2216.0
BTCUSDT,2025-06-22,100963.87,28746.41072,2892695407.8086877,102120.02,103399.62,98200.0
ETHUSDT,2025-06-22,2227.7,840155.8295,1865382440.303028,2295.72,2314.48,2111.89
ETHUSDT,2025-06-23,2411.66,744583.8003,1707539521.027113,2227.7,2438.68,2188.0
BTCUSDT,2025-06-23,105333.93,27666.50609,2836166831.044449,100963.87,106074.2,99613.33
ETHUSDT,2025-06-24,2448.45,516760.6621,1252322606.094842,2411.66,2482.04,2376.11
