symbol,date,open,high,low,close,volume,quote_volume
BTCUSDT,2022-10-17,19264.83,19677.4,19155.58,19550.15,13401.406119,260567073.2451831
ETHUSDT,2022-10-17,1305.94,1338.69,1295.55,1331.59,170826.67395,225401795.5312525
BTCUSDT,2022-10-18,19550.15,19704.7,19093.64,19328.0,19851.650147,386117777.7777454
ETHUSDT,2022-10-18,1331.59,1342.0,1286.7,1310.85,202471.28555,266996473.2495539
BTCUSDT,2022-10-19,19328.0,19359.37,19074.6,19123.0,11681.708963,224243564.86834994
ETHUSDT,2022-10-19,1310.85,1313.68,1280.1,1284.99,165295.28907,214687964.9559059
BTCUSDT,2022-10-20,19123.0,19343.0,18905.83,19043.65,14041.432194,268615994.4036031
ETHUSDT,2022-10-20,1284.99,1310.85,1270.1,1282.72,184677.25395,238305568.4868705
ETHUSDT,2022-10-21,1282.72,1307.0,1253.18,1299.56,246114.45609,316292683.7535894
BTCUSDT,2022-10-21,19043.65,19249.92,18662.0,19163.1,14718.208714,279920192.7156873
BTCUSDT,2022-10-22,19163.1,19261.01,19112.9,19202.45,2702.929723,51849023.35663652
ETHUSDT,2022-10-22,1299.56,1320.44,1294.0,1313.87,73891.47369,96685991.4807213
BTCUSDT,2022-10-23,19202.45,19695.0,19069.51,19569.0,8009.080534,155413235.0998294
ETHUSDT,2022-10-23,1313.87,1371.22,1299.33,1364.27,112385.69696,149373047.0378279
BTCUSDT,2022-10-24,19569.0,19600.5,19156.01,19331.0,13895.97603,268756712.5688472
ETHUSDT,2022-10-24,1364.27,1371.15,1323.93,1343.5,280799.91465,377544209.6534996
BTCUSDT,2022-10-25,19331.0,20419.12,19238.66,20081.22,24286.253374,482452956.7583977
ETHUSDT,2022-10-25,1343.5,1524.58,1334.74,1459.82,434509.72074,621773798.914611
ETHUSDT,2022-10-26,1459.82,1595.25,1457.4,1566.09,560010.21396,858991855.7161592
BTCUSDT,2022-10-26,20081.22,21018.0,20048.64,20769.66,31839.081583,655607352.7217911
