date,capital
2025-03-22,94505081.14872785
2025-03-23,94505081.14872785
2025-03-24,94505081.14872785
2025-03-25,94505081.14872785
2025-03-26,94505081.14872785
2025-03-27,94505081.14872785
2025-03-28,94505081.14872785
2025-03-29,94505081.14872785
2025-03-30,94505081.14872785
2025-03-31,94505081.14872785
2025-04-01,94505081.14872785
2025-04-02,94505081.14872785
2025-04-03,94505081.14872785
2025-04-04,94505081.14872785
2025-04-05,94505081.14872785
2025-04-06,94505081.14872785
2025-04-07,94505081.14872785
2025-04-08,94505081.14872785
2025-04-09,94505081.14872785
2025-04-10,94505081.14872785
2025-04-11,94505081.14872785
2025-04-12,94505081.14872785
2025-04-13,94505081.14872785
2025-04-14,94505081.14872785
2025-04-15,94505081.14872785
2025-04-16,94505081.14872785
2025-04-17,95549710.34700066
2025-04-18,95549710.34700066
2025-04-19,95549710.34700066
2025-04-20,95549710.34700066
2025-04-21,95549710.34700066
2025-04-22,95549710.34700066
2025-04-23,95549710.34700066
2025-04-24,95549710.34700066
2025-04-25,95549710.34700066
2025-04-26,95549710.34700066
2025-04-27,95549710.34700066
2025-04-28,95549710.34700066
2025-04-29,95549710.34700066
2025-04-30,95549710.34700066
2025-05-01,95549710.34700066
2025-05-02,95549710.34700066
2025-05-03,95549710.34700066
2025-05-04,95549710.34700066
2025-05-05,95549710.34700066
2025-05-06,95549710.34700066
2025-05-07,95549710.34700066
2025-05-08,92845904.30710208
2025-05-09,92845904.30710208
2025-05-10,92845904.30710208
2025-05-11,92845904.30710208
2025-05-12,92845904.30710208
2025-05-13,92845904.30710208
2025-05-14,92845904.30710208
2025-05-15,92845904.30710208
2025-05-16,92845904.30710208
2025-05-17,92845904.30710208
2025-05-18,92845904.30710208
2025-05-19,92845904.30710208
2025-05-20,92845904.30710208
2025-05-21,92845904.30710208
2025-05-22,92845904.30710208
2025-05-23,92845904.30710208
2025-05-24,92845904.30710208
2025-05-25,92845904.30710208
2025-05-26,94153111.99985288
2025-05-27,94153111.99985288
2025-05-28,94153111.99985288
2025-05-29,94153111.99985288
2025-05-30,94153111.99985288
2025-05-31,94153111.99985288
2025-06-01,94153111.99985288
2025-06-02,95155804.66257793
2025-06-03,95155804.66257793
2025-06-04,95155804.66257793
2025-06-05,95155804.66257793
2025-06-06,95155804.66257793
2025-06-07,93525139.96811092
2025-06-08,93525139.96811092
2025-06-09,93525139.96811092
2025-06-10,93525139.96811092
2025-06-11,93525139.96811092
2025-06-12,93525139.96811092
2025-06-13,93525139.96811092
2025-06-14,93525139.96811092
2025-06-15,93525139.96811092
2025-06-16,93525139.96811092
2025-06-17,93525139.96811092
2025-06-18,93525139.96811092
2025-06-19,93525139.96811092
2025-06-20,93525139.96811092
2025-06-21,93525139.96811092
2025-06-22,95112509.4848422
2025-06-23,95112509.4848422
2025-06-24,95112509.4848422
2025-06-25,95112509.4848422
2025-06-26,95112509.4848422
2025-06-27,94099944.81920506
2025-06-28,94099944.81920506
2025-06-29,94099944.81920506
2025-06-30,94099944.81920506
2025-07-01,94099944.81920506
2025-07-02,92727364.47000293
2025-07-03,92727364.47000293
2025-07-04,92727364.47000293
2025-07-05,92727364.47000293
2025-07-06,92727364.47000293
2025-07-07,92727364.47000293
2025-07-08,92727364.47000293
2025-07-09,92727364.47000293
2025-07-10,92727364.47000293
2025-07-11,92727364.47000293
2025-07-12,92727364.47000293
2025-07-13,92727364.47000293
2025-07-14,92727364.47000293
2025-07-15,92727364.47000293
2025-07-16,92727364.47000293
2025-07-17,92727364.47000293
2025-07-18,92727364.47000293
2025-07-19,92727364.47000293
2025-07-20,92727364.47000293
2025-07-21,92727364.47000293
2025-07-22,92727364.47000293
2025-07-23,92727364.47000293
