date,symbol,avg_funding_rate,sum_open_interest,long_short_ratio,volatility_24h,target_volatility_24h
2022-05-13,ETHUSDT,-9.285666666666667e-05,462122.382,,0.0,
2022-05-14,ETHUSDT,7.012333333333334e-05,463356.304,,0.0,
2022-05-14,BTCUSDT,7.012333333333334e-05,70918.318,,0.0,
2022-05-15,ETHUSDT,8.101333333333334e-05,465407.8,,0.0,
2022-05-15,BTCUSDT,8.101333333333334e-05,73378.012,,0.0,
2022-05-16,ETHUSDT,6.555333333333333e-05,451733.203,,0.0,
2022-05-16,BTCUSDT,6.555333333333333e-05,75055.355,,0.0,
2022-05-17,ETHUSDT,-2.4883333333333333e-05,472304.971,,0.0,
2022-05-17,BTCUSDT,-2.4883333333333333e-05,73670.084,,0.0,
2022-05-18,BTCUSDT,-5.493333333333335e-06,78781.961,,0.0,
2022-05-18,ETHUSDT,-5.493333333333335e-06,484259.135,,0.0,
2022-05-19,ETHUSDT,-3.753333333333335e-06,488895.345,,0.0,
2022-05-19,BTCUSDT,-3.753333333333335e-06,86695.769,,0.0,
2022-05-20,ETHUSDT,8.882333333333333e-05,469428.956,,0.0,
2022-05-20,BTCUSDT,8.882333333333333e-05,82164.805,,0.0,
2022-05-21,ETHUSDT,2.3206666666666666e-05,459011.56,,0.0,
2022-05-21,BTCUSDT,2.3206666666666666e-05,79899.838,,0.0,
2022-05-22,ETHUSDT,6.534666666666666e-05,476779.113,,0.0,
2022-05-22,BTCUSDT,6.534666666666666e-05,84271.003,,0.0,
2022-05-23,BTCUSDT,0.0001,82899.812,,0.0,
2022-05-23,ETHUSDT,0.0001,468653.279,,0.0,
2022-05-24,BTCUSDT,-5.590333333333334e-05,83553.351,,0.0,
2022-05-24,ETHUSDT,-5.590333333333334e-05,491959.111,,0.0,
2022-05-25,BTCUSDT,5.884e-05,80322.919,,0.0,
2022-05-25,ETHUSDT,5.884e-05,488349.52,,0.0,
2022-05-26,ETHUSDT,-3.5200000000000023e-06,509498.488,,0.0,
2022-05-26,BTCUSDT,-3.5200000000000023e-06,82923.948,,0.0,
2022-05-27,BTCUSDT,5.0656666666666666e-05,82589.717,,0.0,
2022-05-27,ETHUSDT,5.0656666666666666e-05,545574.461,,0.0,
2022-05-28,BTCUSDT,6.502666666666667e-05,81618.489,,0.0,
2022-05-28,ETHUSDT,6.502666666666667e-05,563666.626,,0.0,
2022-05-29,ETHUSDT,4.531333333333333e-05,556197.94,,0.0,
2022-05-29,BTCUSDT,4.531333333333333e-05,86199.011,,0.0,
2022-05-30,ETHUSDT,6.0379999999999994e-05,554011.243,,0.0,
2022-05-30,BTCUSDT,6.0379999999999994e-05,87386.171,,0.0,
2022-05-31,BTCUSDT,9.253666666666668e-05,88121.126,,0.0,
2022-05-31,ETHUSDT,9.253666666666668e-05,542374.15,,0.0,
2022-06-01,BTCUSDT,0.0001,83562.177,,0.0,
2022-06-01,ETHUSDT,0.0001,529850.381,,0.0,
2022-06-02,ETHUSDT,-9.266666666666657e-07,562671.359,,0.0,
2022-06-02,BTCUSDT,-9.266666666666657e-07,84359.267,,0.0,
2022-06-03,BTCUSDT,5.999666666666666e-05,83735.067,,0.0,
2022-06-03,ETHUSDT,5.999666666666666e-05,578612.736,,0.0,
2022-06-04,BTCUSDT,7.666666666666667e-05,82523.602,,0.0,
2022-06-04,ETHUSDT,7.666666666666667e-05,573541.479,,0.0,
2022-06-05,ETHUSDT,4.8393333333333336e-05,580402.609,,0.0,
2022-06-05,BTCUSDT,4.8393333333333336e-05,82922.821,,0.0,
2022-06-06,BTCUSDT,9.865666666666667e-05,95837.051,,0.0,
2022-06-06,ETHUSDT,9.865666666666667e-05,558300.837,,0.0,
2022-06-07,BTCUSDT,2.695e-05,86542.187,,0.0,
2022-06-07,ETHUSDT,2.695e-05,538157.476,,0.0,
2022-06-08,BTCUSDT,9.013666666666667e-05,79797.529,,0.0,
2022-06-08,ETHUSDT,9.013666666666667e-05,556689.233,,0.0,
2022-06-09,ETHUSDT,8.473666666666666e-05,569390.206,,0.0,
2022-06-09,BTCUSDT,8.473666666666666e-05,84586.174,,0.0,
2022-06-10,ETHUSDT,3.0513333333333335e-05,685565.636,,0.0,
2022-06-10,BTCUSDT,3.0513333333333335e-05,87927.5,,0.0,
2022-06-11,BTCUSDT,-0.00013796666666666667,89723.58,,0.0,
2022-06-11,ETHUSDT,-0.00013796666666666667,723629.94,,0.0,
2022-06-12,ETHUSDT,-7.588666666666667e-05,703365.808,,0.0,
2022-06-12,BTCUSDT,-7.588666666666667e-05,85937.084,,0.0,
2022-06-13,BTCUSDT,-1.2613333333333335e-05,82775.36,,0.0,
2022-06-13,ETHUSDT,-1.2613333333333335e-05,749758.101,,0.0,
2022-06-14,BTCUSDT,-4.042e-05,83892.747,,0.0,
2022-06-14,ETHUSDT,-4.042e-05,763416.42,,0.0,
2022-06-15,BTCUSDT,-7.584e-05,84098.014,,0.0,
2022-06-15,ETHUSDT,-7.584e-05,745762.415,,0.0,
2022-06-16,BTCUSDT,-1.750666666666667e-05,90093.072,,0.0,
2022-06-16,ETHUSDT,-1.750666666666667e-05,811542.769,,0.0,
2022-06-17,BTCUSDT,-0.00011007333333333334,94126.859,,0.0,
2022-06-17,ETHUSDT,-0.00011007333333333334,809484.619,,0.0,
2022-06-18,BTCUSDT,-0.00014682333333333332,90368.825,,0.0,
2022-06-18,ETHUSDT,-0.00014682333333333332,918689.159,,0.0,
2022-06-19,BTCUSDT,-8.804e-05,91317.649,,0.0,
2022-06-19,ETHUSDT,-8.804e-05,869457.986,,0.0,
2022-06-20,ETHUSDT,5.422666666666667e-05,815400.071,,0.0,
2022-06-20,BTCUSDT,5.422666666666667e-05,92087.031,,0.0,
2022-06-21,ETHUSDT,5.347666666666667e-05,845726.863,,0.0,
2022-06-21,BTCUSDT,5.347666666666667e-05,93565.563,,0.0,
2022-06-22,ETHUSDT,-5.3733333333333336e-05,832063.609,,0.0,
2022-06-22,BTCUSDT,-5.3733333333333336e-05,94115.025,,0.0,
2022-06-23,ETHUSDT,-7.018333333333334e-05,878662.306,,0.0,
2022-06-23,BTCUSDT,-7.018333333333334e-05,95785.509,,0.0,
2022-06-24,BTCUSDT,7.349666666666667e-05,95360.48,,0.0,
2022-06-24,ETHUSDT,7.349666666666667e-05,912047.29,,0.0,
2022-06-25,ETHUSDT,-4.333333333333312e-07,942733.104,,0.0,
2022-06-25,BTCUSDT,-4.333333333333312e-07,100438.535,,0.0,
